iter	Logloss
0	0.6861111843
1	0.6794783872
2	0.6701213228
3	0.6628762512
4	0.6571736605
5	0.6493575789
6	0.6415551995
7	0.63481904
8	0.628459775
9	0.6201160238
10	0.6140573631
11	0.6083017439
12	0.6018175639
13	0.595201763
14	0.5882228577
15	0.5834897036
16	0.5778671453
17	0.570986586
18	0.5649814528
19	0.5590385887
20	0.5521246791
21	0.5463160936
22	0.541303018
23	0.5363504383
24	0.531044657
25	0.5257498026
26	0.5204952246
27	0.5152549382
28	0.5094489739
29	0.5047106182
30	0.4992144597
31	0.4953284569
32	0.4901473182
33	0.4843803176
34	0.4786562068
35	0.4744267308
36	0.4701827807
37	0.4663826227
38	0.4621724075
39	0.4572513231
40	0.453158346
41	0.4492668964
42	0.445817086
43	0.4414545255
44	0.4378231239
45	0.4345166896
46	0.4297405978
47	0.4260295488
48	0.4228541269
49	0.4193622385
50	0.4162444118
51	0.413104923
52	0.4100530119
53	0.4074435163
54	0.4040581187
55	0.4005580757
56	0.3976235376
57	0.3944963699
58	0.3896453863
59	0.3863170062
60	0.3830431217
61	0.3804709486
62	0.37814231
63	0.3751761544
64	0.3721476368
65	0.3697099572
66	0.3660000435
67	0.3633555429
68	0.3613211257
69	0.358758258
70	0.3561610111
71	0.3535594231
72	0.3509913044
73	0.348870811
74	0.3458658542
75	0.3429113357
76	0.3398167491
77	0.3374957982
78	0.3352851272
79	0.3330629738
80	0.3310411402
81	0.3288728055
82	0.3263950461
83	0.3243316469
84	0.3216798164
85	0.3195790776
86	0.3168305613
87	0.3147083166
88	0.312367452
89	0.3108202389
90	0.308645799
91	0.3069375058
92	0.3050914378
93	0.3020330795
94	0.3001595466
95	0.2975590144
96	0.2959821622
97	0.2945201369
98	0.2929283522
99	0.2913710702
100	0.2899262522
101	0.2888260101
102	0.2869127875
103	0.2851276568
104	0.2839287292
105	0.2819430005
106	0.2806179836
107	0.2782575914
108	0.2770247147
109	0.2746001851
110	0.2733642516
111	0.2721618045
112	0.271016189
113	0.2697528572
114	0.268317952
115	0.2661797717
116	0.2650639273
117	0.263447719
118	0.2624039991
119	0.2605686103
120	0.2596479711
121	0.2573646392
122	0.2562418069
123	0.254654575
124	0.2535425652
125	0.2526233821
126	0.2515179685
127	0.2492301038
128	0.2481386406
129	0.2464483409
130	0.2454392683
131	0.2442133058
132	0.2423780986
133	0.2406309247
134	0.2389462448
135	0.2379766504
136	0.2370632859
137	0.2357834663
138	0.2347192878
139	0.2338419188
140	0.2326871015
141	0.2316399273
142	0.2307785324
143	0.22989348
144	0.2289037335
145	0.2273029032
146	0.2266283802
147	0.2256108721
148	0.2249116415
149	0.2234936924
150	0.2228310137
151	0.2213771315
152	0.2208037064
153	0.2198237067
154	0.2188336452
155	0.2177930162
156	0.2163702987
157	0.2149906754
158	0.214235354
159	0.2135586625
160	0.2119271273
161	0.211237178
162	0.2101229032
163	0.2096120006
164	0.2089339466
165	0.2077464064
166	0.2072167879
167	0.2065950036
168	0.2059936864
169	0.2053116986
170	0.2047134382
171	0.2040338374
172	0.2034684107
173	0.2022799793
174	0.2016362321
175	0.2004105903
176	0.1998856635
177	0.1989735507
178	0.1985889673
179	0.1981679513
180	0.1974582956
181	0.197065887
182	0.1959242225
183	0.195304337
184	0.1943962829
185	0.1933379485
186	0.1926386129
187	0.1919017548
188	0.1915789417
189	0.1910143466
190	0.1905581639
191	0.1894078737
192	0.1890604496
193	0.1886936455
194	0.1876374114
195	0.1864057637
196	0.185525616
197	0.1842070165
198	0.1831824978
199	0.1827250634
200	0.1823619349
201	0.1820114056
202	0.1816231296
203	0.1806320605
204	0.1796930319
205	0.1787877991
206	0.1781598926
207	0.1772357651
208	0.1768796018
209	0.1759317773
210	0.1756535456
211	0.1747171765
212	0.1738078935
213	0.1733858614
214	0.1725953136
215	0.1716879606
216	0.1713336167
217	0.1706943313
218	0.1698032731
219	0.1691076131
220	0.1685252928
221	0.1676556099
222	0.1668106488
223	0.1660014873
224	0.1654062271
225	0.1645494756
226	0.1637858805
227	0.1634585829
228	0.1628635242
229	0.162370256
230	0.1613515388
231	0.1605346288
232	0.1601938151
233	0.1594000629
234	0.1591073984
235	0.1583235235
236	0.1576211481
237	0.1569147621
238	0.1564244401
239	0.1562195846
240	0.1555689375
241	0.1551345899
242	0.154404081
243	0.1537738215
244	0.1530659852
245	0.1524952565
246	0.1517619633
247	0.1510554836
248	0.1503466368
249	0.1496382129
250	0.1490894783
251	0.1488390934
252	0.1484106779
253	0.147717632
254	0.1474655838
255	0.1467677326
256	0.1461656377
257	0.1459267849
258	0.1452735521
259	0.1450592308
260	0.144723387
261	0.1441237387
262	0.1439256299
263	0.1434576398
264	0.1428155786
265	0.142282679
266	0.1417000322
267	0.1411284265
268	0.1405613422
269	0.1399327091
270	0.1394131581
271	0.1389550623
272	0.1387287605
273	0.1383040718
274	0.1380651764
275	0.1374576007
276	0.137170065
277	0.1366996595
278	0.1361489438
